,Unnamed: 0,Students ID,94260712307,Percentage of attendance
0,1,,,
1,2,19012233,Present,98%
2,3,20019322,Present,97%
3,4,20019523,Late,89%
4,5,20020480,Present,99%
5,6,21023784,Late,92%
6,7,22032930,Present,96%
7,8,22033848,Present,99%
8,9,22034140,Present,96%
9,10,22034185,Absent,79%
10,11,22034186,Present,95%
11,12,22034189,Present,98%
12,13,22034245,Present,96%
13,14,22034252,Present,96%
14,15,22034270,Present,99%
15,16,22034278,Present,93%
16,17,22034284,Present,94%
17,18,22034289,Present,94%
18,19,22034306,Late,90%
19,20,22034311,Late,90%
20,21,22034319,Late,91%
21,22,22034326,Present,94%
22,23,22034356,Present,99%
23,24,22034359,Present,98%
24,25,22034361,Present,94%
25,26,22034362,Absent,45%
26,27,22034365,Present,93%
27,28,22034368,Present,99%
